Date	Time0 Sensor0	Time1 Sensor1	Time2 Sensor2	Time3 Sensor3	Time4 Sensor4
11/30/2011	18:21:00 2761.118467	18:21:03 2766.090073	18:21:05 2509.257492	18:21:08 2507.347609	18:21:11 3571.901922
11/30/2011	18:21:15 2768.577329	18:21:18 2767.582311	18:21:20 2514.990643	18:21:23 2519.772284	18:21:26 3394.922945
11/30/2011	18:21:30 2775.546805	18:21:33 2780.031201	18:21:35 2527.909466	18:21:38 2534.139158	18:21:41 3579.776212
11/30/2011	18:21:45 2804.001250	18:21:48 2801.000078	18:21:50 2549.500211	18:21:53 2549.980850	18:21:56 3550.574808
11/30/2011	18:22:00 2799.000078	18:22:03 2798.500176	18:22:05 2533.180340	18:22:08 2534.618621	18:22:11 3513.691851
11/30/2011	18:22:15 2791.505641	18:22:18 2782.025277	18:22:20 2520.250650	18:22:23 2520.729051	18:22:26 3457.636864
11/30/2011	18:22:30 2782.025277	18:22:33 2786.514223	18:22:35 2530.304768	18:22:38 2537.016490	18:22:41 3536.580328
11/30/2011	18:22:45 2795.001952	18:22:48 2799.500020	18:22:50 2537.975894	18:22:53 2547.097565	18:22:56 3538.258139
11/30/2011	18:23:00 2812.011261	18:23:03 2809.006333	18:23:05 2561.045732	18:23:08 2551.903777	18:23:11 3330.621212
11/30/2011	18:23:15 2825.048924	18:23:18 2822.037878	18:23:20 2558.638663	18:23:23 2558.157360	18:23:26 3408.625910
11/30/2011	18:23:30 2819.529752	18:23:33 2818.526777	18:23:35 2559.601380	18:23:38 2558.638663	18:23:41 3675.556112
11/30/2011	18:23:45 2816.020025	18:23:48 2815.518792	18:23:50 2557.194865	18:23:53 2549.980850	18:23:56 3682.979790
11/30/2011	18:24:00 2813.514253	18:24:03 2813.013217	18:24:05 2552.865461	18:24:08 2553.346359	18:24:11 3551.135189
11/30/2011	18:24:15 2812.512219	18:24:18 2813.013217	18:24:20 2552.384601	18:24:23 2546.617146	18:24:26 3645.941782
11/30/2011	18:24:30 2804.001250	18:24:33 2801.000078	18:24:35 2565.862638	18:24:38 2549.980850	18:24:41 3283.067818
11/30/2011	18:24:45 2767.582311	18:24:48 2766.587447	18:24:50 2508.779966	18:24:53 2505.915579	18:24:56 3639.125911
11/30/2011	18:25:00 2760.621520	18:25:03 2760.124611	18:25:05 2507.347609	18:25:08 2512.601191	18:25:11 3612.495846
11/30/2011	18:25:15 2764.100966	18:25:18 2760.124611	18:25:20 2502.098436	18:25:23 2498.760346	18:25:26 3293.845592
11/30/2011	18:25:30 2756.647331	18:25:33 2754.661165	18:25:35 2497.330282	18:25:38 2494.471136	18:25:41 3518.151815
11/30/2011	18:25:45 2745.731067	18:25:48 2748.210395	18:25:50 2489.232763	18:25:53 2491.613297	18:25:56 3448.799507
11/30/2011	18:26:00 2747.714452	18:26:03 2750.690688	18:26:05 2495.424039	18:26:08 2494.947569	18:26:11 3567.406426
11/30/2011	18:26:15 2752.675618	18:26:18 2753.171947	18:26:20 2494.471136	18:26:23 2495.900545	18:26:26 3505.337345
11/30/2011	18:26:30 2753.668314	18:26:33 2755.157649	18:26:35 2497.330282	18:26:38 2493.518377	18:26:41 3498.105124
11/30/2011	18:26:45 2744.243933	18:26:48 2743.252703	18:26:50 2487.804878	18:26:53 2488.280803	18:26:56 3404.786255
11/30/2011	18:27:00 2739.289324	18:27:03 2735.823390	18:27:05 2474.968592	18:27:08 2474.493681	18:27:11 3522.056700
11/30/2011	18:27:15 2724.942721	18:27:18 2723.460433	18:27:20 2467.374348	18:27:23 2463.106648	18:27:26 3457.636864
11/30/2011	18:27:30 2717.041177	18:27:33 2713.094083	18:27:35 2456.473808	18:27:38 2456.473808	18:27:41 3413.016783
11/30/2011	18:27:45 2714.573956	18:27:48 2713.094083	18:27:50 2454.580008	18:27:53 2453.160035	18:27:56 3442.730555
11/30/2011	18:28:00 2710.135371	18:28:03 2713.094083	18:28:05 2456.947348	18:28:08 2458.368185	18:28:11 3462.612983
11/30/2011	18:28:15 2718.028333	18:28:18 2720.990722	18:28:20 2459.789346	18:28:23 2462.632640	18:28:26 3457.636864
11/30/2011	18:28:30 2720.496894	18:28:33 2714.080627	18:28:35 2458.841869	18:28:38 2457.420925	18:28:41 3425.106522
11/30/2011	18:28:45 2708.163661	18:28:48 2704.714640	18:28:50 2449.848024	18:28:53 2448.902059	18:28:56 3417.959952
11/30/2011	18:29:00 2695.362442	18:29:03 2691.428793	18:29:05 2433.314362	18:29:08 2431.899234	18:29:11 3467.039290
11/30/2011	18:29:15 2686.024003	18:29:18 2678.170703	18:29:20 2422.473273	18:29:23 2421.060612	18:29:26 3373.056360
11/30/2011	18:29:30 2671.797053	18:29:33 2671.307038	18:29:35 2413.061596	18:29:38 2410.710904	18:29:41 3345.279791
11/30/2011	18:29:45 2662.003941	18:29:48 2659.558028	18:29:50 2401.786390	18:29:53 2400.378430	18:29:56 3365.965084
11/30/2011	18:30:00 2648.807226	18:30:03 2645.878358	18:30:05 2389.126243	18:30:08 2386.784607	18:30:11 3360.515371
11/30/2011	18:30:15 2640.999923	18:30:18 2640.512286	18:30:20 2382.571893	18:30:23 2383.507804	18:30:26 3345.823321
11/30/2011	18:30:30 2634.176434	18:30:33 2632.228219	18:30:35 2376.024474	18:30:38 2376.491917	18:30:41 3347.997882
11/30/2011	18:30:45 2625.900667	18:30:48 2623.468680	18:30:50 2368.550183	18:30:53 2368.550183	18:30:56 3334.418491
11/30/2011	18:31:00 2619.093465	18:31:03 2617.149898	18:31:05 2360.152390	18:31:08 2358.753866	18:31:11 3315.453696
11/30/2011	18:31:15 2609.866851	18:31:18 2609.381614	18:31:20 2353.628652	18:31:23 2352.231604	18:31:26 3301.940408
11/30/2011	18:31:30 2607.441037	18:31:33 2606.470973	18:31:35 2351.765992	18:31:38 2350.369365	18:31:41 3312.208003
11/30/2011	18:31:45 2602.107530	18:31:48 2600.169192	18:31:50 2344.786016	18:31:53 2344.786016	18:31:56 3331.705928
