Date	Time0 Sensor0	Time1 Sensor1	Time2 Sensor2	Time3 Sensor3	Time4 Sensor4
11/30/2011	17:41:30 2419.648272	17:41:33 2419.648272	17:41:35 2169.198203	17:41:38 2169.198203	17:41:41 3047.182958
11/30/2011	17:41:45 2419.648272	17:41:48 2419.648272	17:41:50 2169.198203	17:41:53 2169.198203	17:41:56 3160.896458
11/30/2011	17:42:00 2476.868598	17:42:03 2474.493681	17:42:05 2227.778192	17:42:08 2251.551634	17:42:11 3242.806337
11/30/2011	17:42:15 2511.645666	17:42:18 2521.685964	17:42:20 2270.820851	17:42:23 2297.069088	17:42:26 3297.621946
11/30/2011	17:42:30 2687.006350	17:42:33 2697.822212	17:42:35 2428.598521	17:42:38 2415.413178	17:42:41 3075.296277
11/30/2011	17:42:45 2550.942240	17:42:48 2507.347609	17:42:50 2246.972642	17:42:53 2243.311912	17:42:56 3206.512978
11/30/2011	17:43:00 2489.708797	17:43:03 2491.613297	17:43:05 2244.226889	17:43:08 2248.803828	17:43:11 3359.970645
11/30/2011	17:43:15 2511.645666	17:43:18 2519.293956	17:43:20 2275.877571	17:43:23 2274.498052	17:43:26 2815.518792
11/30/2011	17:43:30 2509.735054	17:43:33 2503.529591	17:43:35 2249.719626	17:43:38 2249.719626	17:43:41 3219.299661
11/30/2011	17:43:45 2499.237107	17:43:48 2498.283622	17:43:50 2244.684429	17:43:53 2243.311912	17:43:56 3248.696074
11/30/2011	17:44:00 2494.471136	17:44:03 2494.947569	17:44:05 2243.311912	17:44:08 2244.684429	17:44:11 3255.663430
11/30/2011	17:44:15 2497.330282	17:44:18 2496.377088	17:44:20 2244.226889	17:44:23 2245.599611	17:44:26 3205.980736
11/30/2011	17:44:30 2501.621457	17:44:33 2503.052503	17:44:35 2250.635562	17:44:38 2252.009721	17:44:41 3247.624823
11/30/2011	17:44:45 2505.438309	17:44:48 2506.870229	17:44:50 2254.758966	17:44:53 2254.758966	17:44:56 3222.500202
11/30/2011	17:45:00 2509.735054	17:45:03 2509.735054	17:45:05 2257.967978	17:45:08 2259.802454	17:45:11 3273.382752
11/30/2011	17:45:15 2514.034753	17:45:18 2514.034753	17:45:20 2261.637479	17:45:23 2261.637479	17:45:26 3243.876809
11/30/2011	17:45:30 2514.990643	17:45:33 2515.946679	17:45:35 2265.768295	17:45:38 2267.145852	17:45:41 2735.328410
11/30/2011	17:45:45 2523.121608	17:45:48 2524.078887	17:45:50 2272.659176	17:45:53 2274.957857	17:45:56 3397.661297
11/30/2011	17:46:00 2530.783939	17:46:03 2532.700987	17:46:05 2280.017988	17:46:08 2282.779819	17:46:11 3316.535945
11/30/2011	17:46:15 2539.895144	17:46:18 2540.375048	17:46:20 2287.385631	17:46:23 2288.307208	17:46:26 3272.845107
11/30/2011	17:46:30 2543.255244	17:46:33 2543.735406	17:46:35 2291.994898	17:46:38 2292.917167	17:46:41 3294.924332
11/30/2011	17:46:45 2546.136764	17:46:48 2547.578020	17:46:50 2293.839574	17:46:53 2293.378353	17:46:56 3299.241041
11/30/2011	17:47:00 2548.058513	17:47:03 2547.097565	17:47:05 2293.839574	17:47:08 2294.762119	17:47:11 3228.905935
11/30/2011	17:47:15 2549.980850	17:47:18 2546.617146	17:47:21 2293.378353	17:47:23 2293.378353	17:47:26 3377.423964
11/30/2011	17:47:30 2548.058513	17:47:33 2549.019608	17:47:35 2296.146197	17:47:38 2296.146197	17:47:41 3389.449598
11/30/2011	17:47:45 2549.500211	17:47:48 2549.500211	17:47:50 2296.146197	17:47:53 2295.684803	17:47:56 3347.454175
11/30/2011	17:48:00 2550.942240	17:48:03 2552.384601	17:48:05 2299.838595	17:48:08 2299.838595	17:48:11 3342.019544
11/30/2011	17:48:15 2552.865461	17:48:18 2553.346359	17:48:20 2299.838595	17:48:23 2298.453686	17:48:26 3136.099419
11/30/2011	17:48:30 2547.578020	17:48:33 2546.136764	17:48:35 2289.689832	17:48:38 2286.464192	17:48:41 3273.382752
11/30/2011	17:48:45 2535.577659	17:48:48 2535.098122	17:48:50 2281.398748	17:48:53 2280.017988	17:48:56 3247.089263
11/30/2011	17:49:00 2529.346538	17:49:03 2527.430516	17:49:05 2274.498052	17:49:08 2273.578545	17:49:11 3474.238250
11/30/2011	17:49:15 2524.557581	17:49:18 2524.078887	17:49:20 2271.280380	17:49:23 2270.361356	17:49:26 3300.320656
11/30/2011	17:49:30 2521.207489	17:49:33 2520.729051	17:49:35 2267.145852	17:49:38 2267.145852	17:49:41 3406.431552
11/30/2011	17:49:45 2520.250650	17:49:48 2520.250650	17:49:50 2268.523719	17:49:53 2268.983076	17:49:56 3226.236125
